ID,URN,Passage_SHA256,Primary_Text,Meter,Pattern,Caesura,Tier,Source
m-50cc7a9f1020,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1018,9315119bfa2642f0a2a2f2cd0204a925785f3352db17fe22b521ee60474ee5e8,αὖτις ἐυξείνοισι Δολίοσιν ἐκ δʼ ἄρʼ ἔβησαν,dactylic hexameter,-u u---u u-uu - u u--,feminine penthemimeral,gold-derived,hypotactic
m-17f48b108ebe,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1019,56a42fff93459219f9af09853c3e54314318baad3a59fd29947c114472a3f4dc,"αὐτονυχί· ἱερὴ δὲ φατίζεται ἥδʼ ἔτι πέτρη,",dactylic hexameter,-uu- uu- u u-uu - uu --,"masculine penthemimeral, trithemimeral",gold-derived,hypotactic
m-11e04e13dc36,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.102,fd29e4480f0e781626a52b53910119690617ecbad54af783f05e4d9ccc70bb1e,"Ταιναρίην ἀίδηλος ὑπὸ χθόνα δεσμὸς ἔρυκεν,",dactylic hexameter,-uu- uu-u u- uu -u u--,"feminine penthemimeral, hepthemimeral, trithemimeral",gold-derived,hypotactic
m-e8252df65f7c,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1020,232458349421dd75e14d382d8a93c4ea526196af1e06e493846e7e59e59c5261,ᾗ πέρι πείσματα νηὸς ἐπεσσύμενοι ἐβάλοντο.,dactylic hexameter,- uu -uu -u u-uu- uu--,feminine penthemimeral,gold-derived,hypotactic
m-931fe0f5bdb0,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1021,bb3d46688c25c1f73ec05cfcc403bb263ca2958ab331e90a248516648b8cb58a,οὐδέ τις αὐτὴν νῆσον ἐπιφραδέως ἐνόησεν,dactylic hexameter,-u u -- -u u-uu- uu--,feminine penthemimeral,gold-derived,hypotactic
m-6069d8357146,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1022,bab89d243c56d2638c3ff3c5e3d85158ed07a497b83566377e5d56f9808c99b4,ἔμμεναι· οὐδʼ ὑπὸ νυκτὶ Δολίονες ἂψ ἀνιόντας,dactylic hexameter,-uu - uu -u u-uu - uu--,"feminine penthemimeral, trithemimeral",gold-derived,hypotactic
m-5906da181e73,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1023,4490a9d7ec344dd6af129f3c955ff6feaaf25677f6ff20af5194f1b3c38e0d45,ἥρωας νημερτὲς ἐπήισαν· ἀλλά που ἀνδρῶν,dactylic hexameter,--- --u u-uu -u u --,"feminine penthemimeral, trithemimeral",gold-derived,hypotactic
m-fcae864502ea,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1024,d2a40218e0a5abcd7c6b915544ccadfb4ed0d9517248ac60ea6cac01acd36efd,Μακριέων εἴσαντο Πελασγικὸν ἄρεα κέλσαι.,dactylic hexameter,-uu- --u u-uu -uu --,"feminine penthemimeral, trithemimeral",gold-derived,hypotactic
m-d8ac4b79d147,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1025,bf6f1ad3b49a746529336a6b76a897285e6155f092c59ff8c1150565c33488af,τῶ καὶ τεύχεα δύντες ἐπὶ σφίσι χεῖρας ἄειραν.,dactylic hexameter,- - -uu -u u- uu -u u--,"feminine penthemimeral, hepthemimeral",gold-derived,hypotactic
m-37fad3178013,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1026,6eb8976c413a1e085cf82d977efa921f0659858ed7570217565dc21db7d96465,σὺν δʼ ἔλασαν μελίας τε καὶ ἀσπίδας ἀλλήλοισιν,dactylic hexameter,- uu- uu- u u -uu ----,"masculine penthemimeral, trithemimeral",gold-derived,hypotactic
m-14c7ab3535ec,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1027,e479747604d294707c19684c49c197c66ad8d428184b193ec6994eaa5c4dec90,"ὀξείῃ ἴκελοι ῥιπῇ πυρός, ἥ τʼ ἐνὶ θάμνοις",dactylic hexameter,--- uu- -- uu - uu --,"masculine penthemimeral, hepthemimeral, trithemimeral",gold-derived,hypotactic
m-36aafce3ca91,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1028,476a24e1ebbbcc8ab7127c1f28025b6f1342c60c24a28bf10d1ca84990ef80ed,αὐαλέοισι πεσοῦσα κορύσσεται· ἐν δὲ κυδοιμὸς,dactylic hexameter,-uu-u u-u u-uu - u u--,feminine penthemimeral,gold-derived,hypotactic
m-b80ae9273aea,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1029,ff6352cb9ac85f05ddd4c506f60a946679f5c75713440ffa571584db8d2b0269,δεινός τε ζαμενής τε Δολιονίῳ πέσε δήμῳ.,dactylic hexameter,-- - uu- u u-uu- uu --,"masculine penthemimeral, trithemimeral",gold-derived,hypotactic
m-1485c99ab4ec,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.103,576ce42fe383c3ae7b838dc03555123a3aefb388978aaa311076823bb3b069c5,Πειρίθῳ ἑσπόμενον κοινὴν ὁδόν· ἦ τέ κεν ἄμφω,dactylic hexameter,-uu -uu- -- uu - u u --,"masculine penthemimeral, hepthemimeral",gold-derived,hypotactic
m-583d4f4794a0,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1030,a52a717b4d95b2387fbbabe84a05a99126981169888dfde27d992e4aefcbda90,οὐδʼ ὅγε δηιοτῆτος ὑπὲρ μόρον αὖτις ἔμελλεν,dactylic hexameter,- uu -uu-u u- uu -u u--,"feminine penthemimeral, hepthemimeral",gold-derived,hypotactic
m-49d8bebeb030,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1031,be41b9b49db20641057ad4e77c62823863584dd1c2f246ca04cd218ffb093d6a,οἴκαδε νυμφιδίους θαλάμους καὶ λέκτρον ἱκέσθαι.,dactylic hexameter,-uu -uu- uu- - -u u--,"masculine penthemimeral, hepthemimeral",gold-derived,hypotactic
m-e40fb1cedeb4,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1032,219b4f1d4ccbb2747f697f36896ef70b38b337b33f84e4730aebfd9c589e0e89,ἀλλά μιν Αἰσονίδης τετραμμένον ἰθὺς ἑοῖο,dactylic hexameter,-u u -uu- --uu -u u--,masculine penthemimeral,gold-derived,hypotactic
m-637df66fae42,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1033,e0f2d2b04e40491f83e71418fc7cbe6ed69732ea8a99275ce46139d3017ce3fc,"πλῆξεν ἐπαΐξας στῆθος μέσον, ἀμφὶ δὲ δουρὶ",dactylic hexameter,-u u--- -- uu -u u --,"masculine penthemimeral, hepthemimeral",gold-derived,hypotactic
m-49f5b30f80fb,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1034,3cf833265e7e358804b346d3f056abd2463e96793a587e9dc9f0d5b2cbe0ace7,ὀστέον ἐρραίσθη· ὁ δʼ ἐνὶ ψαμάθοισιν ἐλυσθεὶς,dactylic hexameter,-uu --- u u- uu-u u--,"masculine penthemimeral, hepthemimeral",gold-derived,hypotactic
m-67bef83c8f57,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1035,32ed65ab09d579d1f8b41523d8db29b838245ff0be9f7624d099dc72ed807543,μοῖραν ἀνέπλησεν. τὴν γὰρ θέμις οὔποτʼ ἀλύξαι,dactylic hexameter,-u u--- - - uu -u u--,"masculine penthemimeral, hepthemimeral",gold-derived,hypotactic
m-3909aef0e51c,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1036,28be3cf21ee93bb00ef23f5b214b04b0d832b6fd28c7abfb3018e4f377167f9f,θνητοῖσιν· πάντῃ δὲ περὶ μέγα πέπταται ἕρκος.,dactylic hexameter,--- -- u u- uu -uu --,"masculine penthemimeral, hepthemimeral, trithemimeral",gold-derived,hypotactic
m-d07ab1d3a6a5,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1037,9f7bcf11f4d41db53f85c6cedd2bfbd1fb7b35ba868d95ae30e3e6b5d248505e,ὧς τὸν ὀιόμενόν που ἀδευκέος ἔκτοθεν ἄτης,dactylic hexameter,- u u-uu- u u-uu -uu --,masculine penthemimeral,gold-derived,hypotactic
m-d62f6ff31f48,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1038,28e3f56cfbf21ab61b32b72717e1170d80eb5ae7871c42965dd796ff93fa2945,εἶναι ἀριστήων αὐτῇ ὑπὸ νυκτὶ πέδησεν,dactylic hexameter,-u u--- -- uu -u u--,"masculine penthemimeral, hepthemimeral",gold-derived,hypotactic
m-22f94ab91404,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1039,c7a8a1d56ecaa8a013200b00cab842e0dc8491b6e841d2a750b69c2a1284872a,μαρνάμενον κείνοισι· πολεῖς δʼ ἐπαρηγόνες ἄλλοι,dactylic hexameter,-uu- --u u- uu-uu --,"feminine penthemimeral, hepthemimeral, trithemimeral",gold-derived,hypotactic
m-3f3c2439cc92,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.104,0d18d5264e2eee4120654199f1e402905eb332dc6cf29912cac7592d07e8108b,ῥηίτερον καμάτοιο τέλος πάντεσσιν ἔθεντο.,dactylic hexameter,-uu- uu-u u- --u u--,"feminine penthemimeral, hepthemimeral, trithemimeral",gold-derived,hypotactic
m-e2b680af472f,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1040,c190bd5217e63bfb358c3aa08e5d8997d44a69d7b039dbea054d769b4dd1c21f,ἔκταθεν· Ἡρακλέης μὲν ἐνήρατο Τηλεκλῆα,dactylic hexameter,-uu -uu- u u-uu ----,masculine penthemimeral,gold-derived,hypotactic
m-d294b47d7039,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1041,a733ac6f23f633b1a75090f8215d33f6b7fa2804af44d6fbcfa368c292b2f50d,ἠδὲ Μεγαβρόντην· Σφόδριν δʼ ἐνάριξεν Ἄκαστος·,dactylic hexameter,-u u--- -- uu-u u--,"masculine penthemimeral, hepthemimeral",gold-derived,hypotactic
m-d85d5febd74a,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1042,fc58bcab18ffbb7eafe9d696a49c76cb59698e33a9c2018fd00092809bb738c2,Πηλεὺς δὲ Ζέλυν εἷλεν ἀρηίθοόν τε Γέφυρον.,dactylic hexameter,-- - uu -u u-uu- u u--,"feminine penthemimeral, trithemimeral",gold-derived,hypotactic
m-4580d955d348,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1043,1fc199cc41f5d7623d5a770fbc5efaff724388d306e2e6691b7256b8b63b7281,αὐτὰρ ἐυμμελίης Τελαμὼν Βασιλῆα κατέκτα.,dactylic hexameter,-u u-uu- uu- uu-u u--,"masculine penthemimeral, hepthemimeral",gold-derived,hypotactic
m-faebc1988908,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1044,7abae51d9aa980da7c267e454d897eb97e62d86ea26fc14b8f936cd7499a6e68,"Ἴδας δʼ αὖ Προμέα, Κλυτίος δʼ Ὑάκινθον ἔπεφνεν,",dactylic hexameter,-- - uu- uu- uu-u u--,"masculine penthemimeral, hepthemimeral, trithemimeral",gold-derived,hypotactic
m-f58c0314b422,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1045,7123b4b0e903542ef074fa56c57e233bd4ee1bdbf58c95cca25c2968186a02fe,Τυνδαρίδαι δʼ ἄμφω Μεγαλοσσάκεα Φλογίον τε.,dactylic hexameter,-uu- -- uu-uu- uu- -,"masculine penthemimeral, trithemimeral",gold-derived,hypotactic
m-ca923ee75ba5,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1046,c38fc77874254f104cf62466d36fd2384819f7e4e29f09a2de0a24a6596dd282,Οἰνεΐδης δʼ ἐπὶ τοῖσιν ἕλεν θρασὺν Ἰτυμονῆα,dactylic hexameter,-uu- uu -u u- uu -uu--,"feminine penthemimeral, hepthemimeral, trithemimeral",gold-derived,hypotactic
m-8efcfcfd04cb,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1047,7aabc897f630853eb45b4d776226eb1de9c1bd09ab1c289ac0e085f463f50607,"ἠδὲ καὶ Ἀρτακέα, πρόμον ἀνδρῶν· οὓς ἔτι πάντας",dactylic hexameter,-u u -uu- uu -- - uu --,masculine penthemimeral,gold-derived,hypotactic
m-044f857754e0,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1048,b93dad3a016c715482142a129dbea6e67ddac435b44d6cd08f65baba7c0b1ffd,ἐνναέται τιμαῖς ἡρωίσι κυδαίνουσιν.,dactylic hexameter,-uu- -- --uu ----,"masculine penthemimeral, trithemimeral",gold-derived,hypotactic
m-10769a872fc6,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1049,ed7694f0d062fa1a3035b3f0842f128884ab1a5565ae1f4798a09eeb92767be5,"οἱ δʼ ἄλλοι εἴξαντες ὑπέτρεσαν, ἠύτε κίρκους",dactylic hexameter,- -- --u u-uu -uu --,"feminine penthemimeral, trithemimeral",gold-derived,hypotactic
m-fef9a8d1fee4,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.105,347e9221703190e381b074b060056f81b20257f9aa95eb53eb951905deb7276b,Τῖφυς δʼ Ἁγνιάδης Σιφαέα κάλλιπε δῆμον,dactylic hexameter,-- -uu- --uu -uu --,masculine penthemimeral,gold-derived,hypotactic
m-62f32f41ccb1,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1050,44ce1b797731a4dcc6865e35f21b30be3bbacb7a66027b40624625a5c53a3fcd,ὠκυπέτας ἀγεληδὸν ὑποτρέσσωσι πέλειαι.,dactylic hexameter,-uu- uu-u u---u u--,"feminine penthemimeral, trithemimeral",gold-derived,hypotactic
m-2795be42d8af,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1051,4be764427dcd53128bc8895aa37f8e641052a7d895070cd325a40b916f88f30c,ἐς δὲ πύλας ὁμάδῳ πέσον ἀθρόοι· αἶψα δʼ ἀυτῆς,dactylic hexameter,- u u- uu- uu -uu -u u--,"masculine penthemimeral, trithemimeral",gold-derived,hypotactic
m-c6680d34c828,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1052,9ebe5b13a2e4cb39b8760dba879a2c21efe8e137822353a012b2a7838e06c4f7,πλῆτο πόλις στονόεντος ὑποτροπίῃ πολέμοιο.,dactylic hexameter,-u u- uu-u u-uu- uu--,"feminine penthemimeral, trithemimeral",gold-derived,hypotactic
m-12961d4ee4fc,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1053,0de09b3d57bded0da7eacfa481cad5e5c2aecedf8637432ce0f95d43bbc4ff67,ἠῶθεν δʼ ὀλοὴν καὶ ἀμήχανον εἰσενόησαν,dactylic hexameter,--- uu- u u-uu -uu--,"masculine penthemimeral, trithemimeral",gold-derived,hypotactic
m-388e9acbe518,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1054,2bce283b043d1765935843496ade4934db7c09374b4bd29b4e247ea3b88c16d0,ἀμπλακίην ἄμφω· στυγερὸν δʼ ἄχος εἷλεν ἰδόντας,dactylic hexameter,-uu- -- uu- uu -u u--,"masculine penthemimeral, hepthemimeral, trithemimeral",gold-derived,hypotactic
m-7a655783f3f3,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1055,ea62de8fa72c03306df439d645d48d5e3fff1fc65b3096172ec0524bc0001d30,ἥρωας Μινύας Αἰνήιον υἷα πάροιθεν,dactylic hexameter,--- uu- --uu -u u--,"masculine penthemimeral, trithemimeral",gold-derived,hypotactic
m-69b9fb43fef6,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1056,87c34560fe2f66a7b8eaf2263c196cc120fadd60ad0a0854ff12d3dd83d37a65,Κύζικον ἐν κονίῃσι καὶ αἵματι πεπτηῶτα.,dactylic hexameter,-uu - uu-u u -uu ----,"feminine penthemimeral, trithemimeral",gold-derived,hypotactic
m-47c6e5d67eb5,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1057,e2b774cf2ffcddb78400d137a95337afab7db204b1c5686daee04cc8e9e955f8,"ἤματα δὲ τρία πάντα γόων, τίλλοντό τε χαίτας",dactylic hexameter,-uu - uu -u u- --u u --,"feminine penthemimeral, hepthemimeral, trithemimeral",gold-derived,hypotactic
m-5f70dc9106cd,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1058,4d5627e0089c2ea05f40ae34a088ef2ba968cb0a6b8fe7a005692db9cf40310c,αὐτοὶ ὁμῶς λαοί τε Δολίονες. αὐτὰρ ἔπειτα,dactylic hexameter,-u u- -- u u-uu -u u--,"masculine penthemimeral, trithemimeral",gold-derived,hypotactic
m-2a8cd9321010,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1059,8e68ec3a73fb941964190ac4f889407fd0fd50092d2150473f8c2116f6ffcb18,τρὶς περὶ χαλκείοις σὺν τεύχεσι δινηθέντες,dactylic hexameter,- uu --- - -uu ----,masculine penthemimeral,gold-derived,hypotactic
m-c28028ce6ac1,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.106,96e8816b116fa30007bb85a1418b153fd8679f7115abcbe4b7bc4ba12729bec5,"Θεσπιέων, ἐσθλὸς μὲν ὀρινόμενον προδαῆναι",dactylic hexameter,-uu- -- u u-uu- uu--,"masculine penthemimeral, trithemimeral",gold-derived,hypotactic
m-0c0ba25ac44d,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1060,2dd99405eb7ac90235edea0e1d86ff9fa99e280a879b47b8efbb73efbba6f2ee,"τύμβῳ ἐνεκτερέιξαν, ἐπειρήσαντό τʼ ἀέθλων,",dactylic hexameter,-u u-uu-u u---u u--,feminine penthemimeral,gold-derived,hypotactic
m-4e7fc81587fa,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1061,e8570e2e86fd031699ba48616ee53a1eee1fc93b107f758bafae5620a2fdefe6,"ἣ θέμις, ἂμ πεδίον λειμώνιον, ἔνθʼ ἔτι νῦν περ",dactylic hexameter,- uu - uu- --uu - uu - -,"masculine penthemimeral, trithemimeral",gold-derived,hypotactic
m-9cd99efb1a58,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1062,f02983e0d6c328480a8cd16ea13b983477887f70bb5e674f874d017e7041bdea,ἀγκέχυται τόδε σῆμα καὶ ὀψιγόνοισιν ἰδέσθαι.,dactylic hexameter,-uu- uu -u u -uu-u u--,"feminine penthemimeral, trithemimeral",gold-derived,hypotactic
m-133f0b6d9dd9,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1063,c364f0c92511526e11a6341aa009f2a488ef11a78547bbae64c292405f3e0f98,οὐδὲ μὲν οὐδʼ ἄλοχος Κλείτη φθιμένοιο λέλειπτο,dactylic hexameter,-u u - uu- -- uu-u u--,"masculine penthemimeral, hepthemimeral, trithemimeral",gold-derived,hypotactic
m-d7ceafdd05b7,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1064,f91796cfeba791b4e01bed7564cd57c046bb70a6f6d44fac20e080e06cac33d8,οὗ πόσιος μετόπισθε· κακῷ δʼ ἐπὶ κύντερον ἄλλο,dactylic hexameter,- uu- uu-u u- uu -uu --,"feminine penthemimeral, hepthemimeral, trithemimeral",gold-derived,hypotactic
