ID,Language_ID,Parameter_ID,Value
as-family,as,family,Indo-European (Indo-Aryan)
as-context,as,context,The ISO 639-1 alias of asm — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
as-provenance,as,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
ask-name,ask,name,Ashkun
ask-family,ask,family,Indo-Iranian (Nuristani)
ask-context,ask,context,"Ashkun (Saṇu-viri) is a Nuristani language of the Pech valley region of Nuristan province in northeastern Afghanistan, spoken by some tens of thousands of people. The Nuristani languages form a small third branch of Indo-Iranian beside Indo-Aryan and Iranian, unwritten and barely documented before the 20th century; the wordlist filed here records the Wâmâ variety. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Indo-Iranian relatives."
ask-provenance,ask,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
asm-name,asm,name,Assamese
asm-family,asm,family,Indo-Aryan (Eastern)
asm-context,asm,context,"Assamese is the easternmost Indo-Aryan language, spoken by some fifteen million people in the Brahmaputra valley and official in the Indian state of Assam. Written in the Assamese variant of the Eastern Nagari script, it has a literary record reaching back to the 14th century and served as a lingua franca across the northeast, where it underlies the pidgin-descended Nagamese. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Indo-Aryan relatives."
asm-provenance,asm,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
ast-name,ast,name,Asturian
ast-family,ast,family,Indo-European (Romance)
ast-context,ast,context,"The Asturleonese language of Asturias, heir of the medieval Kingdom of León's vernacular, with a literary tradition from the 17th century and an academy since 1980, though still without co-official status. It reaches this library through the etymology desk's cognate lists."
ast-provenance,ast,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
ave-name,ave,name,Avestan
ave-family,ave,family,Old Iranian < Indo-Iranian < Indo-European
ave-context,ave,context,"The liturgical language of Zoroastrianism, preserved in the Avesta: Old
(Gathic) Avestan of the Gāthās and the Yasna Haptaŋhāiti, and the later
Younger Avestan of the rest of the Yasna, the Yašts, Vīdēvdād and Xorde
Avesta. Nabu holds it through the TITUS Avestan Corpus (titus-avestan) —
the anchor of the `iranian` research desk — served under the owner's
personal grant №41-3 (Prof. Jost Gippert, Frankfurt): non-commercial, with
the verbatim TITUS credit line rendered on every serving surface. It is a
text edition, not a treebank: full-text `search --lang ave` and citation
`show` are the lanes; there is no gold-lemma or morphology layer.

TITUS stores the text in a scholarly Latin transliteration with combining
diacritics (ā̊, ϑ, ṣ̌, t̰, ə), not the native Avestan alphabet (Avst). Note
the code duality: ISO 639-1 `ae` / 639-2·3 `ave` — nabu's shelf and search
use `ave`, while StarLing's PIE base tags its Avestan reflexes `ae` (reach
them through `nabu etym`). The Old-Persian sibling of the desk (peo) rides
the ORACC/CDLI Achaemenid trilinguals."
ave-period,ave,period,Old Avestan (Gāthās) 2nd mill. BCE; Younger Avestan 1st mill. BCE
ave-scripts,ave,scripts,Avst
ave-provenance,ave,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); curated: 2026-07-24 (P44-r2, the iranian desk — D43-d)"
awa-Deva-name,awa-Deva,name,Awadhi (Devanagari)
awa-Deva-family,awa-Deva,family,Indo-Aryan < Indo-Iranian < Indo-European
awa-Deva-context,awa-Deva,context,"Two SARIT editions in Devanagari (Bandīmocana, Bhāratībhūṣaṇa) — early-modern Awadhi verse riding the Sanskrit shelf. The -Deva script subtag survives SARIT's own tagging (""avadhi"" → awa, conventions §4); the pristine text keeps its native script while text_normalized is minted through the Deva→IAST transcode."
awa-Deva-provenance,awa-Deva,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
axm-name,axm,name,Middle Armenian
axm-family,axm,family,Indo-European (Armenian)
axm-context,axm,context,"The Armenian of roughly the 12th–18th centuries, the state language of Cilician Armenia and the vehicle of law codes, medicine and verse between Grabar and the modern standards. It reaches this library through the etymology desk's cognate lists."
axm-provenance,axm,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
az-name,az,name,Azerbaijani
az-family,az,family,Turkic (Oghuz)
az-context,az,context,"The Oghuz Turkic language of Azerbaijan and Iranian Azerbaijan, close kin to Turkish, with a classical literature from Nasimi and Fuzuli and three script changes in a century. It reaches this library through the etymology desk's cognate lists."
az-provenance,az,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
bal-name,bal,name,Balochi
bal-family,bal,family,Indo-European (Iranian)
bal-context,bal,context,"The Northwestern Iranian language of Balochistan across Pakistan, Iran and Afghanistan, its conservative consonants keeping shapes close to Middle Persian; a modern written tradition is consolidating around Nastaliq script. It reaches this library through the etymology desk's cognate lists."
bal-provenance,bal,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
bar-name,bar,name,Bavarian
bar-family,bar,family,"Indo-European (Germanic, West)"
bar-context,bar,context,"The Upper German dialect group of Bavaria, Austria and South Tyrol, one of the largest German dialect communities, ranging from Nuremberg-area North Bavarian to the Cimbrian and Mòcheno enclaves it seeded in Italy. It reaches this library through the etymology desk's cognate lists."
bar-provenance,bar,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
bat-name,bat,name,Baltic
bat-context,bat,context,"Lithuanian, Latvian, Old Prussian; bat-pro (Proto-Baltic) and East Baltic (bat-eas) appear in Balto-Slavic descendant trees."
bat-provenance,bat,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
bat-pro-name,bat-pro,name,Proto-Baltic
bat-pro-family,bat-pro,family,Baltic < Indo-European (reconstructed)
bat-pro-context,bat-pro,context,"The reconstructed common ancestor of the Baltic branch — Lithuanian, Latvian and the extinct Old Prussian — never written, recovered by comparison, and contested even as a node: many comparativists reconstruct only Balto-Slavic above the attested languages and treat ""Proto-Baltic"" as shorthand for the non-Slavic residue. Its words are starred etymological forms, not attestations. Here it is StarLing's Proto-Baltic database: 1,651 etymologies hanging under the Indo-European base, each fanning out into Old Lithuanian, Lithuanian, Lettish and Old Prussian reflex columns."
bat-pro-provenance,bat-pro,provenance,"noted: 2026-08-02 (curated note added, Wikipedia-derived)"
be-name,be,name,Belarusian
be-family,be,family,"Indo-European (Slavic, East)"
be-context,be,context,The ISO 639-1 alias of bel — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
be-provenance,be,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
bel-name,bel,name,Belarusian
bel-family,bel,family,Slavic (East)
bel-context,bel,context,"Belarusian is an East Slavic language spoken in Belarus, standing between Russian and Ukrainian and written in Cyrillic. Its ancestor Ruthenian was the chancery language of the Grand Duchy of Lithuania; the modern standard formed in the early 20th century, and the language now coexists with — and is heavily pressured by — Russian in its own country. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Slavic relatives."
bel-provenance,bel,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
ben-name,ben,name,Bengali
ben-family,ben,family,Indo-Aryan (Eastern)
ben-context,ben,context,"Bengali (Bangla) is the Indo-Aryan language of Bengal, with well over two hundred million speakers — the national language of Bangladesh and official in the Indian states of West Bengal and Tripura, placing it among the half-dozen most spoken languages in the world. Written in its own Brahmi-derived script, it has a literary history often traced to the Charyapada songs and crowned by Rabindranath Tagore, the first non-European Nobel laureate in literature. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Indo-Aryan relatives."
ben-provenance,ben,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
bg-name,bg,name,Bulgarian
bg-family,bg,family,"Indo-European (Slavic, South)"
bg-context,bg,context,The ISO 639-1 alias of bul — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
bg-provenance,bg,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
bgn-name,bgn,name,Western Balochi
bgn-family,bgn,family,Iranian (Northwestern)
bgn-context,bgn,context,"Western Balochi is the most widely spoken variety of Balochi, a Northwestern Iranian language whose speakers stretch across Pakistani Balochistan, southeastern Iran, Afghanistan and Turkmenistan — the ancestors of the Baloch migrated south from the Caspian region, which is why their language groups with the northwest. It is written in Arabic script where written at all; the cognate set filed here records the Sistani dialect. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Iranian relatives."
bgn-provenance,bgn,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
bho-name,bho,name,Bhojpuri
bho-family,bho,family,Indo-Aryan (Eastern)
bho-context,bho,context,"Bhojpuri is an Eastern Indo-Aryan language of the middle Gangetic plain — western Bihar and eastern Uttar Pradesh — with tens of millions of speakers, and, through 19th-century indentured migration, descendant communities as far as Mauritius, Fiji, Suriname and Trinidad. Long filed in India as a 'dialect' under the Hindi umbrella, it is written in Devanagari (formerly also Kaithi) and carries a vigorous song and film culture. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Indo-Aryan relatives."
bho-provenance,bho,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
bi-name,bi,name,Bislama
bi-family,bi,family,English-lexified creole
bi-context,bi,context,"The Melanesian creole that is Vanuatu's national language, grown from the 19th-century sandalwood and blackbirding trade; its name descends from 'beach-la-mar', the sea-cucumber commerce itself. It reaches this library through the etymology desk's cognate lists."
bi-provenance,bi,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
bn-name,bn,name,Bengali
bn-family,bn,family,Indo-European (Indo-Aryan)
bn-context,bn,context,The ISO 639-1 alias of ben — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
bn-provenance,bn,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
bod-name,bod,name,Tibetan
bod-family,bod,family,Tibeto-Burman (Bodish)
bod-context,bod,context,"The ISO 639-2/3 code for Tibetan (bo its 639-1 twin — both resolve at every query filter). In this library it tags the dictionary side: the kaikki/Wiktionary Tibetan extract (3,651 entries) and the CC0 verbs database's tense-stem tuples; the classical corpus itself rides xct and the imperial-era documents otb."
bod-provenance,bod,provenance,exported: 2026-07-28 (P48 language pass)
bqi-name,bqi,name,Bakhtiari
bqi-family,bqi,family,"Iranian (Southwestern, Luri)"
bqi-context,bqi,context,"Bakhtiari is a Southwestern Iranian variety of the Luri group, close kin to Persian, spoken by the Bakhtiari people of the central Zagros mountains of Iran. Its speakers were historically famous as pastoral nomads whose seasonal migrations crossed the high passes between winter pastures in the plains and summer pastures in the mountains. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Iranian relatives."
bqi-provenance,bqi,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
br-name,br,name,Breton
br-family,br,family,"Indo-European (Celtic, Brythonic)"
br-context,br,context,The ISO 639-1 alias of bre — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
br-provenance,br,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
bra-Deva-name,bra-Deva,name,Braj (Devanagari)
bra-Deva-family,bra-Deva,family,Indo-Aryan < Indo-Iranian < Indo-European
bra-Deva-context,bra-Deva,context,"Three SARIT editions in Devanagari — Braj Bhāṣā devotional and musicological verse (Tulasīdāsa's Rāmāyaṇasaṭīka, the Rāgabinoda, a Rāmāśvamedha bhāṣā). The -Deva subtag survives SARIT's own tagging (""braj"" → bra); native script kept pristine, IAST minted via the Deva transcode so one romanized query lands on both scripts."
bra-Deva-provenance,bra-Deva,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
brc-name,brc,name,Berbice Creole Dutch
brc-family,brc,family,Dutch-lexified creole
brc-context,brc,context,"The extinct creole of the Berbice River in Guyana, unique among Atlantic creoles for its heavy Eastern Ijo (Kalabari) component beside its Dutch lexicon; its last fluent speaker died in 2005 after Silvia Kouwenberg documented the language. It reaches this library through the etymology desk's cognate lists as a descendant of Dutch etyma."
brc-provenance,brc,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
bre-name,bre,name,Breton
bre-family,bre,family,Celtic (Brythonic)
bre-context,bre,context,"Breton is the Brythonic Celtic language of Brittany, brought from Britain by migrants in the early Middle Ages — the only Celtic language spoken on the European continent in modern times. Once the everyday speech of Lower Brittany across four traditional dialect areas (Leon, Treger, Kernev, Gwened), it declined sharply through the 20th century and is now sustained by revival schooling; the cognate data here records the Treger and Gwened dialects. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Celtic relatives."
bre-provenance,bre,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
bsh-name,bsh,name,Kati
bsh-family,bsh,family,Indo-Iranian (Nuristani)
bsh-context,bsh,context,"Kati (Kamkata-viri) is the largest of the Nuristani languages, spoken in the Bashgal valley and adjacent parts of Nuristan in northeastern Afghanistan and across the border in Chitral, Pakistan. Nuristani is the small third branch of Indo-Iranian, and its speakers kept a pre-Islamic polytheism until the forced conversions of the 1890s, when their homeland ceased to be called Kafiristan; the data here records the Eastern and Ktivi varieties. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Indo-Iranian relatives."
bsh-provenance,bsh,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
bsh-kat-name,bsh-kat,name,Kati (Kamkata-viri)
bsh-kat-family,bsh-kat,family,Indo-European (Nuristani)
bsh-kat-context,bsh-kat,context,"The largest Nuristani language, spoken in the Bashgal and neighbouring valleys of Afghan Nuristan and in Chitral; Wiktionary's code marks the Kativiri variety. The Nuristani branch stands third beside Iranian and Indo-Aryan. It reaches this library through the etymology desk's cognate lists."
bsh-kat-provenance,bsh-kat,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
bul-name,bul,name,Bulgarian
bul-family,bul,family,Slavic (South) < Indo-European
bul-context,bul,context,"South Slavic language of Bulgaria, written in Cyrillic and descended from the same medieval Slavic that Old Church Slavonic canonized on Bulgarian soil. Centuries inside the Balkan Sprachbund reshaped it away from its Slavic kin — the case system collapsed, a definite article grew on the end of the noun, the infinitive gave way to subjunctive clauses — and the modern standard settled on the eastern dialects in the 19th century. This library's Bulgarian texts sit just before that settling: the Damaskini corpus, twenty manuscripts (5,123 passages) of 17th–18th-century vernacular sermon miscellanies named for Damaskenos Stoudites, beside the IE-CoR cognate list below."
bul-provenance,bul,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
bzj-name,bzj,name,Belize Kriol
bzj-family,bzj,family,English-lexified creole
bzj-context,bzj,context,"The English-based creole that is Belize's lingua franca, formed on the Baymen's settlements of the 18th century with West African substrate. It reaches this library through the etymology desk's cognate lists."
bzj-provenance,bzj,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
ca-name,ca,name,Catalan
ca-family,ca,family,Indo-European (Romance)
ca-context,ca,context,The ISO 639-1 alias of cat — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
ca-provenance,ca,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
car-name,car,name,Kari'na (Galibi Carib)
car-family,car,family,Cariban
car-context,car,context,"Cariban language of the Caribbean coast of the Guianas and Venezuela — ISO 639-3 car is this, not the Anatolian language Carian (shelved as xcr). No corpus here: the WOLD Kali'na loanword vocabulary (Renault-Lescure, in Haspelmath & Tadmor 2009; 1,373 entries) and 569 reflex edges."
car-provenance,car,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
cat-name,cat,name,Catalan
cat-family,cat,family,Romance (Western)
cat-context,cat,context,"Catalan is a Western Romance language spoken in Catalonia, Valencia, the Balearic Islands, Andorra (where it is the sole official language) and fringes of France and Sardinia — some ten million speakers in all. It emerged from Latin alongside Occitan, flowered in a medieval golden age (Ramon Llull, Ausiàs March, Tirant lo Blanc), and climbed back from 19th-century decline into a fully standardized modern language; the data here includes both modern and Old Catalan. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Romance relatives."
cat-provenance,cat,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
cau-name,cau,name,Caucasian (areal)
cau-context,cau,context,"Wiktionary's Caucasian proto-groups — Proto-Nakh (cau-nkh-pro), Proto-Northeast/Northwest Caucasian (cau-nec-pro/cau-nwc-pro)."
cau-provenance,cau,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
ccs-pro-name,ccs-pro,name,Proto-Kartvelian
ccs-pro-family,ccs-pro,family,Kartvelian (reconstructed ancestor)
ccs-pro-context,ccs-pro,context,"Reconstructed ancestor of the Kartvelian family (Georgian, Mingrelian, Laz, Svan), plausibly of the South Caucasus in the 3rd–2nd millennium BCE; the family's daughter tradition is written without break since Old Georgian's 5th-century debut. Held as the StarLing Kartvelian etymological base (S. Starostin, after G. Klimov and Fähnrich–Sardshveladze; 1,310 reconstructions with per-language reflex columns, under the project's written StarLing grant, per-base compiler attribution)."
ccs-pro-provenance,ccs-pro,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
ceb-name,ceb,name,Cebuano
ceb-family,ceb,family,Austronesian (Philippine)
ceb-context,ceb,context,"The Bisayan language of Cebu, Bohol, eastern Negros and much of Mindanao, first written in the Spanish mission era and rivalling Tagalog in native-speaker numbers. It reaches this library through the etymology desk's cognate lists."
ceb-provenance,ceb,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
cel-name,cel,name,Celtic
cel-context,cel,context,"The Celtic branch — Gaulish (cel-gau), Proto-Celtic (cel-pro), Proto-Brythonic (cel-bry-pro)."
cel-provenance,cel,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
cel-Latn-name,cel-Latn,name,Celtic (roman-letter)
cel-Latn-family,cel-Latn,family,Celtic < Indo-European
cel-Latn-context,cel-Latn,context,"One OG(H)AM-corpus layer document: the roman-letter reading of the St Ishmaels stone (w-cmn-x02), whose language upstream can pin no closer than collective Celtic. The -Latn subtag is ISO 15924 script, straight from the edition div's xml:lang; not a RIIG code — Continental Celtic proper lives under xtg/xcg."
cel-Latn-provenance,cel-Latn,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
cel-bry-pro-name,cel-bry-pro,name,Proto-Brythonic
cel-bry-pro-family,cel-bry-pro,family,"Indo-European (Celtic, Brythonic)"
cel-bry-pro-context,cel-bry-pro,context,"The reconstructed British Celtic of Roman and immediately post-Roman Britain, ancestor of Welsh, Cornish and Breton, its sound changes datable through Latin loanwords absorbed under the empire. It reaches this library through the etymology desk's cognate lists as a reconstruction node."
cel-bry-pro-provenance,cel-bry-pro,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
cel-gau-name,cel-gau,name,Gaulish
cel-gau-family,cel-gau,family,Indo-European (Celtic)
cel-gau-context,cel-gau,context,"The Continental Celtic of Gaul, attested in hundreds of inscriptions — the Coligny calendar, the Larzac and Chamalières tablets — and in loanwords and place-names that seeded French; it faded under Latin by late antiquity. It reaches this library through the etymology desk's cognate lists."
cel-gau-provenance,cel-gau,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
cel-pro-name,cel-pro,name,Proto-Celtic
cel-pro-family,cel-pro,family,Indo-European (Celtic)
