ID,Script_Tag,Parameter_ID,Value
jpan-desk,jpan,desk,"Kana route to identity cards with the reading panel beside them (`--as reading` for the pure query); kyūjitai↔shinjitai reform pairs cross-reference on the Han card; romaji reaches readings (CAPS=on, lowercase=kun)."
latn-name,latn,name,Latin
latn-context,latn,context,"The Roman alphabet, running left-to-right from the 7th c. BCE to the present; the vast majority of this library's medieval and early-modern shelves are Latin-script, and it doubles as the transliteration surface for many ancient-script corpora."
latn-desk,latn,desk,"Many shelves hold ancient-language text AS Latin transliteration (the ~latn surface claim); the artifact's original script, where it differs, rides the artifact-script field, not the surface claim."
ogam-name,ogam,name,Ogham
ogam-context,ogam,context,"The early Irish stroke script, carved along stone edges, chiefly 4th–6th c. CE — some 400 monument inscriptions, mostly names, the earliest written Irish (and some Pictish)."
ogam-desk,ogam,desk,The ogham shelf holds both the stroke characters and their standard Latin transliterations; a lat~ogam claim exists (Latin text carved in ogham strokes).
phnx-name,phnx,name,Phoenician
phnx-context,phnx,context,"The 22-letter consonantal alphabet of the Levantine coast (c. 1050 BCE onward), ancestor — directly or at one remove — of Greek, Aramaic, Hebrew, Arabic and ultimately most alphabets in use today."
runr-name,runr,name,Runic
runr-context,runr,context,"The Germanic angular alphabets (""futhark"", after the first six letters): the Elder Futhark (c. 150–800 CE), the Anglo-Saxon futhorc, and the Younger Futhark of the Viking Age — several thousand inscriptions on stone, metal and wood. Runes have NO standard numeric values (runic calendars use a separate golden-number system)."
runr-desk,runr,desk,The runic shelf (Rundata) holds transliteration as the working surface with Unicode runes where editions carry them.
syrc-name,syrc,name,Syriac
syrc-context,syrc,context,"The cursive Aramaic script of Edessa (right-to-left), in three styles — Estrangela, Serto (West), East Syriac — carrying the Peshitta and the great Syriac Christian literature from the 1st c. CE onward."
syrc-desk,syrc,desk,The Peshitta and Syriac shelves hold Unicode Syriac; SBL-style transliteration meets it in the search fold where registered.
tibt-name,tibt,name,Tibetan
tibt-context,tibt,context,"The Tibetan abugida (7th c. CE, from a North-Indian model), stacking consonant clusters vertically; the vehicle of the Kangyur/Tengyur canons and the whole classical Tibetan literature."
tibt-desk,tibt,desk,The Tibetan shelves hold both Tibetan script and Wylie (EWTS) romanization; the published wylie-fold table lets both meet in one query space (xct~latn and Tibetan-script surfaces are distinct claims).
ugar-name,ugar,name,Ugaritic
ugar-context,ugar,context,"The cuneiform ALPHABET of Ugarit (13th c. BCE) — thirty wedge-formed letters, a Semitic abjad in cuneiform clothing; the Baal cycle and the Ugaritic corpus ride it."
ugar-desk,ugar,desk,The RSTI/Ugaritic shelves render real Unicode Ugaritic beside transliteration at line grain; KTU/RS concordances resolve through the sign-adjacent instruments.
xpeo-name,xpeo,name,Old Persian cuneiform
xpeo-context,xpeo,context,"The syllabo-alphabetic cuneiform devised for the Achaemenid royal inscriptions (6th–4th c. BCE, Behistun above all) — a deliberately simple, largely new-made system, deciphered first among cuneiforms."
xpeo-desk,xpeo,desk,The Achaemenid shelves hold transliteration as the working surface; the artifact-script field records xpeo.
xsux-name,xsux,name,"Cuneiform, Sumero-Akkadian"
xsux-context,xsux,context,"Wedge-writing on clay, c. 3200 BCE to the 1st c. CE — the longest-lived writing system in history, carrying Sumerian, Akkadian, Hittite and more. One sign can be a word-sign, a syllable or a determinative; the Oracc Sign List is the modern registry of sign identities."
xsux-desk,xsux,desk,"The ATF corpora (CDLI, Oracc, eBL…) hold transliteration as the primary surface; `nabu char 𒊬` and `nabu signs` resolve through the OSL instrument; C-ATF ASCII folds (sz→š, s,→ṣ) apply on input."
